workerid,proliferate.condition,agent,background,correct_answer,followup_name,grid_labels,item_name,item_presentation_condition,n_examples,object,options,prompt,property,response_type,show_generic,show_object,show_scene,slide_num,slider_label_l,slider_label_r,speaker,type,error
702,pedagogical-2,Elephant,2,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact01', 'artifact02', 'artifact05', 'artifact03', 'artifact04'], 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,True,7,,,,followup,
702,pedagogical-2,Elephant,2,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact01', 'artifact02', 'artifact05', 'artifact03', 'artifact04'], 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
702,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
711,pedagogical-2,Bear,8,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
711,pedagogical-2,Bear,8,,,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower05', 'flower04', 'flower02', 'flower01', 'flower03'], 'purple petals']",,,,,,,,2,,,sb,object_encounter,
711,pedagogical-2,Bear,8,,,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower05', 'flower04', 'flower02', 'flower01', 'flower03'], 'purple petals']",,,,,,,,3,,,sb,object_property,
711,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
711,pedagogical-2,,,wug,name_identification,"['yem', 'zobby', 'blus', 'nar', 'vicket', 'wug']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
711,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
711,pedagogical-2,Bear,8,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower05', 'flower04', 'flower02', 'flower01', 'flower03'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
711,pedagogical-2,Bear,8,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower05', 'flower04', 'flower02', 'flower01', 'flower03'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
711,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
691,pedagogical-2,Elephant,2,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
691,pedagogical-2,Elephant,2,,,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird01', 'bird06', 'bird02', 'bird09', 'bird08'], 'green feathers']",,,,,,,,2,,,tg,object_encounter,
691,pedagogical-2,Elephant,2,,,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird01', 'bird06', 'bird02', 'bird09', 'bird08'], 'green feathers']",,,,,,,,3,,,tg,object_property,
691,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
691,pedagogical-2,,,fep,name_identification,"['yem', 'nar', 'blus', 'zobby', 'vicket', 'fep']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
691,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
691,pedagogical-2,Elephant,2,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird01', 'bird06', 'bird02', 'bird09', 'bird08'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
691,pedagogical-2,Elephant,2,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird01', 'bird06', 'bird02', 'bird09', 'bird08'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
691,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
719,pedagogical-2,Bear,5,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
719,pedagogical-2,Bear,5,,,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact01', 'artifact02', 'artifact04', 'artifact03'], 'squeaking']",,,,,,,,2,,,sb,object_encounter,
719,pedagogical-2,Bear,5,,,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact01', 'artifact02', 'artifact04', 'artifact03'], 'squeaking']",,,,,,,,3,,,sb,object_property,
719,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it squeaks?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
719,pedagogical-2,,,wug,name_identification,"['vicket', 'blus', 'nar', 'zobby', 'wug', 'yem']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
719,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,6,,,,followup,
719,pedagogical-2,Bear,5,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact01', 'artifact02', 'artifact04', 'artifact03'], 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,True,7,,,,followup,
719,pedagogical-2,Bear,5,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact01', 'artifact02', 'artifact04', 'artifact03'], 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
719,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
733,pedagogical-2,Monkey,1,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
733,pedagogical-2,Monkey,1,,,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird01', 'bird02', 'bird06'], 'green feathers']",,,,,,,,2,,,sb,object_encounter,
733,pedagogical-2,Monkey,1,,,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird01', 'bird02', 'bird06'], 'green feathers']",,,,,,,,3,,,sb,object_property,
733,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
733,pedagogical-2,,,fep,name_identification,"['yem', 'fep', 'blus', 'nar', 'zobby', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
733,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
733,pedagogical-2,Monkey,1,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird01', 'bird02', 'bird06'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
733,pedagogical-2,Monkey,1,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird01', 'bird02', 'bird06'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
733,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
681,pedagogical-2,Tiger,4,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
681,pedagogical-2,Tiger,4,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird09', 'bird01', 'bird08', 'bird06', 'bird02'], 'green feathers']",,,,,,,,2,,,tg,object_encounter,
681,pedagogical-2,Tiger,4,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird09', 'bird01', 'bird08', 'bird06', 'bird02'], 'green feathers']",,,,,,,,3,,,tg,object_property,
681,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
681,pedagogical-2,,,dax,name_identification,"['yem', 'blus', 'vicket', 'nar', 'dax', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
681,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
681,pedagogical-2,Tiger,4,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird09', 'bird01', 'bird08', 'bird06', 'bird02'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
681,pedagogical-2,Tiger,4,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird09', 'bird01', 'bird08', 'bird06', 'bird02'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
681,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
695,pedagogical-2,Bear,2,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
695,pedagogical-2,Bear,2,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower04', 'flower01', 'flower05', 'flower02'], 'purple petals']",,,,,,,,2,,,sb,object_encounter,
695,pedagogical-2,Bear,2,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower04', 'flower01', 'flower05', 'flower02'], 'purple petals']",,,,,,,,3,,,sb,object_property,
695,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
695,pedagogical-2,,,fep,name_identification,"['fep', 'yem', 'vicket', 'blus', 'nar', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
695,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
695,pedagogical-2,Bear,2,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower04', 'flower01', 'flower05', 'flower02'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
695,pedagogical-2,Bear,2,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower04', 'flower01', 'flower05', 'flower02'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
695,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
687,pedagogical-2,Tiger,4,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
687,pedagogical-2,Tiger,4,,,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact01', 'artifact03', 'artifact02', 'artifact04', 'artifact05'], 'squeaking']",,,,,,,,2,,,sb,object_encounter,
687,pedagogical-2,Tiger,4,,,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact01', 'artifact03', 'artifact02', 'artifact04', 'artifact05'], 'squeaking']",,,,,,,,3,,,sb,object_property,
687,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it squeaks?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
687,pedagogical-2,,,dax,name_identification,"['vicket', 'nar', 'yem', 'dax', 'blus', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
687,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,6,,,,followup,
687,pedagogical-2,Tiger,4,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact01', 'artifact03', 'artifact02', 'artifact04', 'artifact05'], 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,,mc,False,True,True,7,,,,followup,
687,pedagogical-2,Tiger,4,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact01', 'artifact03', 'artifact02', 'artifact04', 'artifact05'], 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
687,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
729,pedagogical-2,Monkey,8,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
729,pedagogical-2,Monkey,8,,,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact05', 'artifact01', 'artifact02', 'artifact03', 'artifact04'], 'squeaking']",,,,,,,,2,,,tg,object_encounter,
729,pedagogical-2,Monkey,8,,,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact05', 'artifact01', 'artifact02', 'artifact03', 'artifact04'], 'squeaking']",,,,,,,,3,,,tg,object_property,
729,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it squeaks?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
729,pedagogical-2,,,dax,name_identification,"['nar', 'vicket', 'blus', 'zobby', 'dax', 'yem']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
729,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,6,,,,followup,
729,pedagogical-2,Monkey,8,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact05', 'artifact01', 'artifact02', 'artifact03', 'artifact04'], 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,,mc,False,True,True,7,,,,followup,
729,pedagogical-2,Monkey,8,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact05', 'artifact01', 'artifact02', 'artifact03', 'artifact04'], 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
729,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
700,pedagogical-2,Dog,6,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
700,pedagogical-2,Dog,6,,,,"['fep', 'feps']",pedagogical,2,"['artifact', ['artifact04', 'artifact03', 'artifact05', 'artifact02', 'artifact01'], 'squeaking']",,,,,,,,2,,,mh,object_encounter,
700,pedagogical-2,Dog,6,,,,"['fep', 'feps']",pedagogical,2,"['artifact', ['artifact04', 'artifact03', 'artifact05', 'artifact02', 'artifact01'], 'squeaking']",,,,,,,,3,,,mh,object_property,
700,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it squeaks?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
700,pedagogical-2,,,fep,name_identification,"['nar', 'fep', 'vicket', 'blus', 'yem', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
700,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,6,,,,followup,
700,pedagogical-2,Dog,6,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['artifact', ['artifact04', 'artifact03', 'artifact05', 'artifact02', 'artifact01'], 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could squeak before you observed it together?,,mc,False,True,True,7,,,,followup,
700,pedagogical-2,Dog,6,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['artifact', ['artifact04', 'artifact03', 'artifact05', 'artifact02', 'artifact01'], 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
700,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
721,pedagogical-2,Tiger,2,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
721,pedagogical-2,Tiger,2,,,,"['dax', 'daxes']",pedagogical,2,"['flower', ['flower05', 'flower02', 'flower01', 'flower03', 'flower04'], 'purple petals']",,,,,,,,2,,,tg,object_encounter,
721,pedagogical-2,Tiger,2,,,,"['dax', 'daxes']",pedagogical,2,"['flower', ['flower05', 'flower02', 'flower01', 'flower03', 'flower04'], 'purple petals']",,,,,,,,3,,,tg,object_property,
721,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
721,pedagogical-2,,,dax,name_identification,"['blus', 'dax', 'vicket', 'zobby', 'yem', 'nar']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
721,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
721,pedagogical-2,Tiger,2,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,2,"['flower', ['flower05', 'flower02', 'flower01', 'flower03', 'flower04'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
721,pedagogical-2,Tiger,2,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,2,"['flower', ['flower05', 'flower02', 'flower01', 'flower03', 'flower04'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
721,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
727,pedagogical-2,Monkey,5,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
727,pedagogical-2,Monkey,5,,,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird02', 'bird06', 'bird01'], 'green feathers']",,,,,,,,2,,,mh,object_encounter,
727,pedagogical-2,Monkey,5,,,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird02', 'bird06', 'bird01'], 'green feathers']",,,,,,,,3,,,mh,object_property,
727,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
727,pedagogical-2,,,wug,name_identification,"['yem', 'nar', 'blus', 'vicket', 'zobby', 'wug']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
727,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
727,pedagogical-2,Monkey,5,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird02', 'bird06', 'bird01'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
727,pedagogical-2,Monkey,5,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird02', 'bird06', 'bird01'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
727,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
725,pedagogical-2,Monkey,3,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
725,pedagogical-2,Monkey,3,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower04', 'flower02', 'flower01', 'flower05'], 'purple petals']",,,,,,,,2,,,sb,object_encounter,
725,pedagogical-2,Monkey,3,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower04', 'flower02', 'flower01', 'flower05'], 'purple petals']",,,,,,,,3,,,sb,object_property,
725,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
725,pedagogical-2,,,fep,name_identification,"['zobby', 'blus', 'yem', 'nar', 'fep', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
725,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
725,pedagogical-2,Monkey,3,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower04', 'flower02', 'flower01', 'flower05'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
